Format=7,5610,,,Right Foot,,,,,,,,,,,5611,,,Left Foot,,,,,,,,,,,5617,,,Lumbar,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1588061834671472,9.980980,-0.297654,-1.071397,0.011340,0.011181,0.025386,-32.199243,-13.025299,2.978606,4636847653760532500.000000,0.010076,0.744579,-0.028575,0.666846,10.022164,0.939970,-1.061930,0.009623,0.021353,0.007477,-30.457242,-13.709713,4.696161,4636847009515438100.000000,0.112440,0.737437,-0.042537,0.664632,0.328939,-0.048169,-9.887997,0.002021,0.004099,0.000000,-17.533446,-19.377776,13.196203,4636846580018708500.000000,0.015651,0.273257,-0.961789,0.006918
1588061834679284,9.978124,-0.300510,-1.081783,0.010681,0.007727,0.025476,-32.219232,-13.025299,3.016010,4636847653760532500.000000,0.010034,0.744552,-0.028576,0.666878,10.034595,0.939970,-1.049837,0.012112,0.021010,0.007477,-30.433056,-13.851589,4.671075,4636847009515438100.000000,0.112397,0.737398,-0.042506,0.664683,0.316733,-0.035963,-9.889975,-0.000058,0.001068,0.000115,-17.391915,-19.463217,13.206754,4636846580018708500.000000,0.015640,0.273259,-0.961789,0.006919
1588061834687096,9.980981,-0.292978,-1.064902,0.011091,0.007636,0.023090,-32.199232,-13.058023,3.043542,4636847653760532500.000000,0.009997,0.744525,-0.028568,0.666908,10.054866,0.939970,-1.041663,0.015678,0.022793,0.007477,-30.596519,-13.765393,4.557082,4636847009515438100.000000,0.112345,0.737357,-0.042465,0.664741,0.305185,-0.024415,-9.924619,-0.001010,0.001184,0.002021,-17.555227,-19.544052,13.396797,4636846580018708500.000000,0.015630,0.273254,-0.961790,0.006916
1588061834694908,9.982797,-0.283630,-1.059184,0.013794,0.009613,0.022840,-32.251961,-13.110751,2.953423,4636847653760532500.000000,0.009953,0.744493,-0.028552,0.666945,10.026210,0.923625,-1.053975,0.014230,0.020639,0.007477,-30.889693,-13.651705,4.582120,4636847009515438100.000000,0.112296,0.737321,-0.042428,0.664791,0.304526,-0.023755,-9.926597,-0.000115,0.003378,0.000058,-17.781571,-19.539437,13.474015,4636846580018708500.000000,0.015627,0.273256,-0.961789,0.006918
1588061834702720,10.007210,-0.282583,-1.064905,0.016681,0.009613,0.023499,-32.219247,-13.138791,2.930541,4636847653760532500.000000,0.009898,0.744461,-0.028531,0.666982,10.026414,0.923727,-1.053872,0.015678,0.020657,0.007477,-30.994596,-13.566261,4.687943,4636847009515438100.000000,0.112242,0.737285,-0.042388,0.664843,0.295609,-0.012865,-9.959267,-0.002194,0.006351,0.001011,-17.683633,-19.463205,13.208410,4636846580018708500.000000,0.015638,0.273255,-0.961790,0.006916
1588061834710532,10.012933,-0.305185,-1.054509,0.015613,0.010022,0.023499,-32.166508,-13.183995,3.060899,4636847653760532500.000000,0.009847,0.744428,-0.028513,0.667020,10.042657,0.935934,-1.058008,0.018520,0.020648,0.007477,-30.782148,-13.538011,4.650725,4636847009515438100.000000,0.112181,0.737251,-0.042340,0.664894,0.343120,-0.025727,-9.923963,-0.003147,0.005283,0.000000,-17.387936,-19.539459,13.223504,4636846580018708500.000000,0.015646,0.273257,-0.961789,0.006909
1588061834718344,9.993192,-0.300513,-1.066716,0.014137,0.010273,0.023908,-32.166508,-13.216697,3.211299,4636847653760532500.000000,0.009798,0.744395,-0.028500,0.667059,10.063033,0.939970,-1.029364,0.019942,0.018865,0.007477,-30.620014,-13.472650,4.679759,4636847009515438100.000000,0.112115,0.737222,-0.042290,0.664940,0.363603,-0.048175,-9.909793,-0.002022,0.004273,0.000172,-17.472722,-19.463184,13.504893,4636846580018708500.000000,0.015649,0.273259,-0.961788,0.006906
1588061834726156,9.980985,-0.302319,-1.078922,0.012000,0.009205,0.024159,-32.199203,-13.236752,3.234218,4636847653760532500.000000,0.009756,0.744364,-0.028493,0.667095,10.054769,0.948140,-0.996875,0.020295,0.018159,0.007477,-30.648939,-13.448521,4.712058,4636847153230806000.000000,0.112048,0.737195,-0.042239,0.664985,0.318699,-0.035316,-9.864888,0.000057,0.004215,0.003090,-17.537466,-19.548624,13.767135,4636846580018708500.000000,0.015649,0.273250,-0.961791,0.006910
1588061834733968,9.968778,-0.298712,-1.091129,0.008230,0.008954,0.023499,-32.251961,-13.216686,3.136564,4636847653760532500.000000,0.009725,0.744334,-0.028494,0.667129,10.046693,0.968514,-1.021474,0.018865,0.018159,0.007477,-30.677204,-13.509738,4.581362,4636847224263802900.000000,0.111985,0.737167,-0.042192,0.665029,0.340501,-0.012861,-9.889303,0.001011,0.003204,0.001068,-17.465730,-19.624933,13.490938,4636846580018708500.000000,0.015644,0.273249,-0.961791,0.006916
1588061834741780,9.961241,-0.291906,-1.098666,0.005498,0.007979,0.023091,-32.279971,-13.236767,2.973557,4636847653760532500.000000,0.009704,0.744306,-0.028502,0.667160,10.046693,0.984759,-1.037629,0.015300,0.018159,0.008192,-30.562867,-13.480842,4.377902,4636847224263802900.000000,0.111930,0.737138,-0.042156,0.665073,0.315437,-0.026370,-9.912412,-0.000114,0.003261,0.001239,-17.635963,-19.539490,13.310631,4636846580018708500.000000,0.015641,0.273247,-0.961792,0.006919
